fid,AREA_HA,PERIMETRO_M,TAMANHO,INDICE_FORMA,CLASSE_FORMA,AREA_NUCLEAR_HA,ISOLAMENTO_M,CLASSE_CONECTIVIDADE,MUNICIPIOS
610,11.23,2259.19,Médio (10-100 ha),1.9,"Alongado (1,5 ≤ DI < 2,0)",1.69,90.95,Alta conectividade (< 100 m),Presidente Kennedy
611,1.25,455.45,Muito pequeno (< 5 ha),1.15,"Compacto (DI < 1,5)",0,219.41,Média conectividade (100-500 m),Presidente Kennedy
612,4.29,1104.54,Muito pequeno (< 5 ha),1.5,"Alongado (1,5 ≤ DI < 2,0)",0.45,83.58,Alta conectividade (< 100 m),"Mimoso do Sul,Atílio Vivácqua"
613,0.77,348.16,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",0,92.45,Alta conectividade (< 100 m),Presidente Kennedy
614,2.67,1443.9,Muito pequeno (< 5 ha),2.49,"Muito alongado (DI ≥ 2,0)",0,18.35,Alta conectividade (< 100 m),Mimoso do Sul
615,2.17,675.01,Muito pequeno (< 5 ha),1.29,"Compacto (DI < 1,5)",0.09,88.82,Alta conectividade (< 100 m),Presidente Kennedy
616,1.93,629.64,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0.02,88.82,Alta conectividade (< 100 m),Presidente Kennedy
617,74.06,5168.08,Médio (10-100 ha),1.69,"Alongado (1,5 ≤ DI < 2,0)",50.23,58.35,Alta conectividade (< 100 m),Mimoso do Sul
618,4.09,1054.13,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0.16,59.01,Alta conectividade (< 100 m),Presidente Kennedy
619,0.53,294.97,Muito pequeno (< 5 ha),1.14,"Compacto (DI < 1,5)",0,137.3,Média conectividade (100-500 m),Presidente Kennedy
620,89.87,10883.54,Médio (10-100 ha),3.24,"Muito alongado (DI ≥ 2,0)",44.37,16.33,Alta conectividade (< 100 m),"Mimoso do Sul,Atílio Vivácqua"
621,122.31,7522.11,Grande (100-250 ha),1.92,"Alongado (1,5 ≤ DI < 2,0)",86.78,37.62,Alta conectividade (< 100 m),Mimoso do Sul
622,8.92,2383.13,Pequeno (5-10 ha),2.25,"Muito alongado (DI ≥ 2,0)",0.96,123.25,Média conectividade (100-500 m),Presidente Kennedy
623,23.01,3510.66,Médio (10-100 ha),2.06,"Muito alongado (DI ≥ 2,0)",7.96,276.67,Média conectividade (100-500 m),Presidente Kennedy
625,0.59,494.59,Muito pequeno (< 5 ha),1.81,"Alongado (1,5 ≤ DI < 2,0)",0,47.23,Alta conectividade (< 100 m),Mimoso do Sul
626,0.85,575.25,Muito pequeno (< 5 ha),1.77,"Alongado (1,5 ≤ DI < 2,0)",0,117.42,Média conectividade (100-500 m),Presidente Kennedy
627,3,932.57,Muito pequeno (< 5 ha),1.52,"Alongado (1,5 ≤ DI < 2,0)",0,78.19,Alta conectividade (< 100 m),Mimoso do Sul
628,3.76,867.55,Muito pequeno (< 5 ha),1.26,"Compacto (DI < 1,5)",0.66,59.01,Alta conectividade (< 100 m),Presidente Kennedy
629,10.16,2457.68,Médio (10-100 ha),2.17,"Muito alongado (DI ≥ 2,0)",1.68,43.55,Alta conectividade (< 100 m),Presidente Kennedy
630,1.1,404.93,Muito pequeno (< 5 ha),1.09,"Compacto (DI < 1,5)",0,258.73,Média conectividade (100-500 m),Presidente Kennedy
631,0.59,445.33,Muito pequeno (< 5 ha),1.63,"Alongado (1,5 ≤ DI < 2,0)",0,45.77,Alta conectividade (< 100 m),Mimoso do Sul
632,22.32,1914.6,Médio (10-100 ha),1.14,"Compacto (DI < 1,5)",13.65,36.11,Alta conectividade (< 100 m),Mimoso do Sul
633,3.71,835.67,Muito pequeno (< 5 ha),1.22,"Compacto (DI < 1,5)",0.43,110.35,Média conectividade (100-500 m),Mimoso do Sul
634,0.54,484.71,Muito pequeno (< 5 ha),1.87,"Alongado (1,5 ≤ DI < 2,0)",0,72.32,Alta conectividade (< 100 m),Mimoso do Sul
635,0.53,357.22,Muito pequeno (< 5 ha),1.38,"Compacto (DI < 1,5)",0,135.59,Média conectividade (100-500 m),Presidente Kennedy
636,11.19,1525.7,Médio (10-100 ha),1.29,"Compacto (DI < 1,5)",4.65,18.95,Alta conectividade (< 100 m),Presidente Kennedy
637,1.87,1493.47,Muito pequeno (< 5 ha),3.08,"Muito alongado (DI ≥ 2,0)",0,152.01,Média conectividade (100-500 m),Mimoso do Sul
638,3.12,696.43,Muito pequeno (< 5 ha),1.11,"Compacto (DI < 1,5)",0.53,135.59,Média conectividade (100-500 m),Presidente Kennedy
